mean_rp,rel_std_rp,k,Df,Np,agg_num,Rve,Rg,eps_agg,h5_file,h5_key
0.015,0.1,0.95,2.35,100,0,0.07032089361010158,0.10992632820508826,0.8783324247070302,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.35/00100/0
0.015,0.1,0.95,2.35,200,0,0.0893856021150396,0.15057201365151676,0.9027707780965579,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.35/00200/0
0.015,0.1,0.95,2.35,300,0,0.10116676744253655,0.1777918576416022,0.9143741506226577,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.35/00300/0
0.015,0.1,0.95,2.35,400,0,0.11206971320885682,0.20233974171438365,0.9210325555820947,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.35/00400/0
0.015,0.1,0.95,2.95,100,0,0.06936910141695878,0.07395571493822865,0.6164607075793448,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.95/00100/0
0.015,0.1,0.95,2.95,200,0,0.08815083025025587,0.09353140699757836,0.6109246702058015,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.95/00200/0
0.015,0.1,0.95,2.95,300,0,0.1013349358333033,0.1096174550268056,0.6328315793918383,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.95/00300/0
0.015,0.1,0.95,2.95,400,0,0.1113045415008258,0.12012235136233011,0.6302620268819146,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.95/00400/0
0.015,0.1,0.95,2.35,100,1,0.0710138631206463,0.11157145970861965,0.880161339374541,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.35/00100/1
0.015,0.1,0.95,2.35,200,1,0.0873385542183769,0.14787738663591418,0.9042498263652434,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.35/00200/1
0.015,0.1,0.95,2.35,300,1,0.10132290529653261,0.1778788709806243,0.9141032593034116,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.35/00300/1
0.015,0.1,0.95,2.35,400,1,0.11229902745602179,0.20611525141455364,0.9248334745114024,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.35/00400/1
0.015,0.1,0.95,2.95,100,1,0.07040079038939276,0.07352724578397855,0.5920428156425606,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.95/00100/1
0.015,0.1,0.95,2.95,200,1,0.08810267228043905,0.09587598696558929,0.6393677373754245,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.95/00200/1
0.015,0.1,0.95,2.95,300,1,0.10020462337613462,0.10695944590176189,0.6178510043760495,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.95/00300/1
0.015,0.1,0.95,2.95,400,1,0.11120953688482181,0.11909366728290355,0.6215687731162176,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.95/00400/1
0.015,0.1,0.95,2.35,100,2,0.06990445746363898,0.11210420296599785,0.8873124859932534,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.35/00100/2
0.015,0.1,0.95,2.35,200,2,0.0889680247067832,0.15237824294509317,0.9074961440778291,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.35/00200/2
0.015,0.1,0.95,2.35,300,2,0.10218469804077815,0.18006092114305483,0.9150572981879377,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.35/00300/2
0.015,0.1,0.95,2.35,400,2,0.11108563992380747,0.19858408194792165,0.9186481677762528,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.35/00400/2
0.015,0.1,0.95,2.95,100,2,0.07069998930476193,0.07434863420657178,0.6003627744966558,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.95/00100/2
0.015,0.1,0.95,2.95,200,2,0.08899786910708785,0.09419650461592541,0.6080223201147034,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.95/00200/2
0.015,0.1,0.95,2.95,300,2,0.10133789780184758,0.10839626825562625,0.6202484501842302,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.95/00300/2
0.015,0.1,0.95,2.95,400,2,0.11189991705864795,0.11964055864239267,0.6197397995880295,aggregates_20260316_00.h5,0.0150/0.10/0.950/2.95/00400/2
